Id,unidad,comentarios,fecha,fechareg,userreg,fechamod,usermod,IdModulo
12577,1054,SE PARCHO LLANTA DELANTERA POSICI‡N 1.,27/02/2018,02:49.1,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,MU-15:02:49-1054
12578,1008,RELLENO DE ANTIFRIS.,27/02/2018,03:47.8,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,MU-15:03:47-1008
12579,1008,RELLENO,27/02/2018,04:40.5,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,CA-15:04:40-1008
12580,1054,RELLENO DE ACEITE,27/02/2018,05:22.1,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,MU-15:05:22-1054
12581,1054,RELLENO,27/02/2018,06:10.4,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,CA-15:06:10-1054
12582,1053,"SE CAMBIARON 2 FOCOS µMBAR,SE AJUSTARON BALATAS,SE CAMBIO LLANTA DELANTERA NUEVA,",,,,,,
SE APRETARON TORNILLOS DE AMORTIGUADORES DELANTEROS.,27/02/2018,08:50.5,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,MU-15:08:50-1053,,
12583,1068,SE CAMBIO LLANTA POSICI‡N 3.,27/02/2018,09:45.5,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,MU-15:09:45-1068
12584,1064,"MANTENIMIENTO,2 FOCOS DE PELLIZCO.",27/02/2018,11:39.1,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,MU-15:11:39-1064
12585,1086,"MANTENIMIENTO, 1 FOCO DE PELLIZCO.",27/02/2018,12:54.1,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,MU-15:12:54-1086
12586,1044,3 FOCOS DE PELLIZCO.,27/02/2018,13:48.3,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,MU-15:13:48-1044
12587,1057,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,14:09.2,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-15:14:09-1057
12588,136,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,14:36.5,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-15:14:36-136
12589,1075,"MANTENIMIENTO,SE CHECARON LUCES Y SE CALIBRARON LLANTAS.",27/02/2018,14:56.2,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,MU-15:14:56-1075
12590,1044,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,15:21.4,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-15:15:21-1044
12591,1071,MANTENIMIENTO Y SE REVISARON LUCES.,27/02/2018,15:44.3,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,MU-15:15:44-1071
12592,1041,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,15:57.6,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-15:15:57-1041
12593,139,SE CAMBIO 1 LLANTA X UNA DE STOCK.,27/02/2018,16:27.5,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,MU-15:16:27-139
12594,1034,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,16:29.0,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-15:16:29-1034
12595,138,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,17:07.5,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-15:17:07-138
12596,1063,SE CAMBIO BOLSA DE AIRE DE ASIENTO DE CH‡FER.,27/02/2018,17:30.0,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,MU-15:17:30-1063
12597,1060,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,06:14.6,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-16:06:14-1060
12598,2,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,06:45.8,e0a41b9b-ff1a-43de-9f95-497d07165fa6,NULL,NULL,DU-16:06:45-002
12599,1026,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,16:52.9,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-21:16:52-1026
12600,131,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,17:17.4,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-21:17:17-131
12601,1061,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,17:46.7,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-21:17:46-1061
12602,132,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,18:14.4,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-21:18:14-132
12603,1075,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,18:35.7,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-21:18:35-1075
12604,1037,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,21:36.2,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-21:21:36-1037
12605,1106,"REGISTRO DE DESPACHO DIESEL A LA UNIDAD, ACTUALIZO KM/MI",27/02/2018,22:32.9,dfff1762-72cd-4def-8a87-9b341ca57e69,NULL,NULL,DU-21:22:32-1106
